Filename,Name,Origin,Year,Database,Pozn.,Source,Filename_No,label_CZ,label_random
CD025,Energie Nove Quartet,Switzerland,2016 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=CDS7708,025,0,1
CD026,Smetana Quartet,CZ,2017 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=3701025805393,026,1,1
CD027,Dissonances,International (/France),2017 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=LD010,027,0,1
CD028,Taurus Quartet,Belgium,2017 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=KTC1604,028,0,1
CD029,Acies Quartet,International (/Austria),2018 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=Gramola99002,029,0,1
CD030,Austrian Quartet,Austria,2018 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=0848033074540,030,0,1
CD031,Voce Quartet,France,2017 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=ALPHA268,031,0,1
CD032,Heine Quartet,?,2006 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=GEN86066,032,0,1
CD033,Guarneri Quartet,USA,1998 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028945657424,033,0,1
CD034,Melos Quartet,Germany,2008 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=HMG501380,034,0,1
CD035,Diotima Quartet,France (\International),2008 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=ALPHA133,035,0,1
CD036,Brodsky Quartet,Britain,2008 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00680125350329,036,0,1
CD037,Janacek Quartet,CZ,2009 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=NARD-5017,037,1,0
CD038,Mandelring Quartet,Germany,2010 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=Audite92.545,038,0,0
CD039,Talich Quartet,CZ,2012 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=LDV266,039,1,0
CD040,Zaide Quartet,France,2014 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=NMM004D,040,0,0
CD041,Hermes Quartet,France,2015 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=LBM001,041,0,0
CD042,Medici Quartet,Britain,1994 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=NI5379,042,0,0
CD043,Juilliard Quartet,USA,1996 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=074646684023,043,0,0
CD044,Petersen Quartet,Germany,1997 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=EDA11,044,0,0
CD045,Janacek Quartet,CZ,2000 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=SU3460-2,045,1,0
CD046,Gabrieli Quartet,Britain (/International),2004 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=00028947552321,046,0,0
CD047,Merel Quartet,Switzerland,2006 (release),Naxos,,https://www.naxosmusiclibrary.com/catalogue/item.asp?cid=TLS104,047,0,0
CD048,Wihan Quartet,CZ,2019 (release),Youtube,,https://www.youtube.com/watch?v=ZGg1hOlvuoE&ab_channel=WihanQuartet-Topic,048,1,0
CD049,Skampa Quartet,CZ,2001 (release),Youtube,,https://www.youtube.com/watch?v=huwXPstYZWY&list=OLAK5uy_lQ191JKwKrc7BlAznXwKjal_FkfCHVDxM&ab_channel=SkampaQuartet%E2%80%93t%C3%A9maSkampaQuartet%E2%80%93t%C3%A9ma,049,1,0
CD050,New Zealand Quartet,New Zealand,2021 (release),Youtube,,https://www.youtube.com/watch?v=tQ8jV1P2dUs&list=OLAK5uy_mwwmFEgBFeCesrmkBuhDO-aim7f7eRt-M&index=5&ab_channel=NewZealandStringQuartet%E2%80%93t%C3%A9maNewZealandStringQuartet%E2%80%93t%C3%A9ma,050,0,0
CD051,Arianna Quartet,USA,2013 (release),Youtube,,https://www.youtube.com/watch?v=Pv9Qo1uNDmY&list=OLAK5uy_nsF0yVQerAJF1_JVCw6Ls1I3xA33Q4s14&index=5&ab_channel=Leo%C5%A1Jan%C3%A1%C4%8Dek%E2%80%93t%C3%A9maLeo%C5%A1Jan%C3%A1%C4%8Dek%E2%80%93t%C3%A9ma,051,0,0
CD052,Martinu Quartet,CZ,2012 (release),Youtube,,https://www.youtube.com/watch?v=BWZS-9Yq458&list=PLaeROohL2eS0ycDIxBnSPqykF7nKfwZin&index=46&ab_channel=Leo%C5%A1Jan%C3%A1%C4%8Dek-Topic,052,1,0
CD053,Smetana Quartet,CZ,1986 (release),Youtube,,https://www.youtube.com/watch?v=V9HALGnDVz0&list=OLAK5uy_nwMujGZCLilNuhJGJAlvtPN-mEY1enHes&ab_channel=SmetanaQuartet-Topic,053,1,0
CD054,Kubin Quartet,CZ,?,Youtube,,https://www.youtube.com/watch?v=6cbutGZiPJk&t=2s&ab_channel=10VITKO10VITKO,054,1,0
CD055,Mandelring Quartet,Germany,2010 (release),Youtube,,https://www.youtube.com/watch?v=ZUjd_xp_5R8&list=OLAK5uy_n281PTn3XoCMILWsPb840S7o08hVaTKB8&index=5&ab_channel=MandelringQuartet%E2%80%93t%C3%A9maMandelringQuartet%E2%80%93t%C3%A9ma,055,0,0
CD056,Smetana Quartet,CZ,2009 (release),Youtube,,https://www.youtube.com/watch?v=vHDcIjWeVXQ&list=OLAK5uy_kddALf5nnN4KX50k4xxZ9Top4L8JACVU0&ab_channel=SmetanaQuartet-Topic,056,1,0
CD057,Penny Quartet,Australia,2014,Youtube,live,https://www.youtube.com/watch?v=QU7y-W-JJUU&ab_channel=MadeleineJevons,057,0,0
CD058,Vanbrugh Quartet,Ireland,?,Youtube,,https://www.youtube.com/watch?v=gEuzR3CwAUw&t=22s&ab_channel=CollinsClassics,058,0,0
CD059,Amati Quartet,Canada,1999,Youtube,,https://www.youtube.com/watch?v=RXpoAhjrwwU&list=OLAK5uy_mT-73HD3nS_mYxRF6j7kQyzjgCbGL5Z2k&ab_channel=Leo%C5%A1Jan%C3%A1%C4%8Dek-Topic,059,0,0
CD060,Alkyona Quartet,Britain,2020 (release),Youtube,,https://www.youtube.com/watch?v=XNrq_r6ME18&list=OLAK5uy_milzOm-xdKUXCWABRe7_sXhW7LOTkKd3k&ab_channel=AlkyonaQuartet-Topic,060,0,0
CD061,Koeckert Quartet,Germany,1951,Youtube,,https://www.youtube.com/watch?v=S2ZqUcaqmqg&list=OLAK5uy_kOXISMcZGt8gmjtxHA4VzBI7KnwEG0Qps&ab_channel=KoeckertQuartet-Topic,061,0,0
CD062,Petersen Quartet,Germany,1994,Youtube,,https://www.youtube.com/watch?v=MTuTcWCYAfY&list=OLAK5uy_l39JJrhmhOHqyah_kCeiWhj5hqs7cxco8&ab_channel=PetersenQuartett-Topic,062,0,0
CD063,Janacek Quartet,CZ,2020 (release),Youtube,,https://www.youtube.com/watch?v=awO_zJ0Ge1A&list=OLAK5uy_k5MN0IkJwtKG7seXGbp1GZR5htkl_iQW4&ab_channel=IvoKah%C3%A1nek-Topic,063,1,0
CD064,Zagrebacki Quartet,Croatia,2019 (release),Youtube,,https://www.youtube.com/watch?v=OVoDKIwXiXM&ab_channel=Zagrebackikvartet-Topic,064,0,0
CD065,Amphion Quartet,International,2014 (release),Youtube,,https://www.youtube.com/watch?v=hSOADXH3zjE&list=OLAK5uy_k9SXqmtu1BYiNZPxHix9CQCi1rt1h6YwI&index=6&ab_channel=AmphionStringQuartet%E2%80%93t%C3%A9maAmphionStringQuartet%E2%80%93t%C3%A9ma,065,0,0
CD066,Smetana Quartet,CZ,2018 (release),Youtube,,https://www.youtube.com/watch?v=VXdMXAlmrdc&ab_channel=SmetanaQuartet-Topic,066,1,0
CD067,Talich Quartet,CZ,1991 (release),Youtube,,https://www.youtube.com/watch?v=7wajB0B8Li8&list=OLAK5uy_nZ69GHhmmEtgUxh1hUALR5Jto_sA6J7as&index=5&ab_channel=TalichQuartet%E2%80%93t%C3%A9maTalichQuartet%E2%80%93t%C3%A9ma,067,1,0
CD068,Vaghy Quartet,Canada,?,Youtube,,https://www.youtube.com/watch?v=eyaG67NvUFg&ab_channel=V%C3%A1ghyStringQuartet,068,0,0
CD069,Pacifica Quartet,USA,2006 (release),Youtube,,https://www.youtube.com/watch?v=o0PaW_Z6tT0&list=OLAK5uy_nwA26uIfu0Kis7oO3lguZSJeC7Lj8QO-E&ab_channel=PacificaQuartet%E2%80%93t%C3%A9maPacificaQuartet%E2%80%93t%C3%A9ma,069,0,0
CD070,Arcadia Quartet,Romania,2013 (release),Youtube,,https://www.youtube.com/watch?v=s709MCiyjYc&list=OLAK5uy_k9lPfan9jm4IMyoET9HBKj-DZ17o1s8Jw&ab_channel=ArcadiaQuartet%E2%80%93t%C3%A9maArcadiaQuartet%E2%80%93t%C3%A9ma,070,0,0
CD071,Janacek Quartet,CZ,1966,Youtube,,https://www.youtube.com/watch?v=FOSFulkl4o0&ab_channel=olla-vogala,071,1,0
